Provider Number,Hospital Name,Address 1,City
150010,ST JOSEPH HOSPITAL & HEALTH CENTER INC,1907 W SYCAMORE ST,KOKOMO
150011,MARION GENERAL HOSPITAL,441 N WABASH AVE,MARION
150012,SAINT JOSEPH REGIONAL MEDICAL CENTER,5215 HOLY CROSS PKWY,MISHAWAKA
150015,FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY,301 W HOMER ST,MICHIGAN CITY
150017,LUTHERAN HOSPITAL OF INDIANA,7950 W JEFFERSON BLVD,FORT WAYNE
150018,ELKHART GENERAL HOSPITAL,600 E BLVD,ELKHART
150021,PARKVIEW REGIONAL MEDICAL CENTER,11109 PARKVIEW PLAZA DRIVE,FORT WAYNE
150022,FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE,1710 LAFAYETTE RD,CRAWFORDSVILLE
150023,UNION HOSPITAL INC,1606 N SEVENTH ST,TERRE HAUTE
150024,WILLIAM N WISHARD MEMORIAL HOSPITAL,1001 W 10TH ST,INDIANAPOLIS
150026,IU HEALTH GOSHEN HOSPITAL,200 HIGH PARK AVE,GOSHEN
150030,HENRY COUNTY MEMORIAL HOSPITAL,1000 N 16TH ST,NEW CASTLE
150033,FRANCISCAN ST FRANCIS HEALTH - BEECH GROVE,1600 ALBANY ST,BEECH GROVE
150034,ST MARY MEDICAL CENTER INC,1500 S LAKE PARK AVE,HOBART
150035,PORTER VALPARAISO HOSPITAL,814 LAPORTE AVE,VALPARAISO
150037,HANCOCK REGIONAL HOSPITAL,801 N STATE ST,GREENFIELD
150038,INDIANA UNIVERSITY HEALTH MORGAN HOSPITAL INC,2209 JOHN R WOODEN DR,MARTINSVILLE
15003F,INDIANAPOLIS VA MEDICAL CENTER,1481 W. TENTH STREET,INDIANAPOLIS                  
150042,GOOD SAMARITAN HOSPITAL,520 S 7TH ST,VINCENNES
150044,FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES,1850 STATE ST,NEW ALBANY
150045,DEKALB HEALTH,1316 E SEVENTH ST,AUBURN
150046,TERRE HAUTE REGIONAL HOSPITAL,3901 S SEVENTH ST,TERRE HAUTE
150047,ST JOSEPH HOSPITAL,700 BROADWAY,FORT WAYNE
150048,REID HOSPITAL & HEALTH CARE SERVICES,1100 REID PKWY,RICHMOND
15004F,VA N. INDIANA HEALTHCARE SYSTEM - MARION,1700 E. 38TH STREET,MARION                        
150051,INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL,601 W SECOND ST,BLOOMINGTON
150056,INDIANA UNIVERSITY HEALTH,1701 N SENATE BLVD,INDIANAPOLIS
150057,FRANCISCAN ST FRANCIS HEALTH - MOORESVILLE,1201 HADLEY RD,MOORESVILLE
150058,MEMORIAL HOSPITAL OF SOUTH BEND,615 N MICHIGAN ST,SOUTH BEND
150059,RIVERVIEW HOSPITAL,395 WESTFIELD RD,NOBLESVILLE
150061,DAVIESS COMMUNITY HOSPITAL,1314 E WALNUT ST,WASHINGTON
150064,FAYETTE REGIONAL HEALTH SYSTEM,1941 VIRGINIA AVE,CONNERSVILLE
150065,SCHNECK MEDICAL CENTER,411 W TIPTON ST,SEYMOUR
150069,"KING'S DAUGHTERS' HOSPITAL AND HEALTH SERVICES,THE",ONE KINGS DAUGHTERS DR,MADISON
150072,MEMORIAL HOSPITAL,1101 MICHIGAN AVE,LOGANSPORT
150074,COMMUNITY HOSPITAL EAST,1500 N RITTER AVE,INDIANAPOLIS
150075,BLUFFTON REGIONAL MEDICAL CENTER,303 S MAIN ST,BLUFFTON
150076,SAINT JOSEPH'S REGIONAL MEDICAL CENTER - PLYMOUTH,1915 LAKE AVE,PLYMOUTH
150082,DEACONESS HOSPITAL INC,600 MARY ST,EVANSVILLE
150084,ST VINCENT HOSPITAL & HEALTH SERVICES,2001 W 86TH ST,INDIANAPOLIS
150086,DEARBORN COUNTY HOSPITAL,600 WILSON CREEK RD,LAWRENCEBURG
150088,SAINT JOHN'S HEALTH SYSTEM,2015 JACKSON ST,ANDERSON
150089,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,2401 UNIVERSITY AVE,MUNCIE
150090,FRANCISCAN ST MARGARET HEALTH - DYER,24 JOLIET ST,DYER
150091,PARKVIEW HUNTINGTON HOSPITAL,2001 STULTS RD,HUNTINGTON
150097,MAJOR HOSPITAL,150 W WASHINGTON ST,SHELBYVILLE
150100,ST MARY'S MEDICAL CENTER OF EVANSVILLE INC,3700 WASHINGTON AVE,EVANSVILLE
150101,PARKVIEW WHITLEY HOSPITAL,1260 E SR 205,COLUMBIA CITY
150102,INDIANA UNIVERSITY HEALTH STARKE HOSPITAL,102 E CULVER RD,KNOX
150104,WITHAM HEALTH SERVICES,2605 N LEBANON ST,LEBANON
150109,FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE EAST,1701 S CREASY LN,LAFAYETTE
150112,COLUMBUS REGIONAL HOSPITAL,2400 E 17TH ST,COLUMBUS
150113,COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,1515 N MADISON AVE,ANDERSON
150115,MEMORIAL HOSPITAL AND HEALTH CARE CENTER,800 W 9TH ST,JASPER
150125,COMMUNITY HOSPITAL,901 MACARTHUR BLVD,MUNSTER
150126,FRANCISCAN ST ANTHONY HEALTH - CROWN POINT,1201 S MAIN ST,CROWN POINT
150128,COMMUNITY HOSPITAL SOUTH,1402 E COUNTY LINE RD S,INDIANAPOLIS
150129,WESTVIEW HOSPITAL,3630 GUION RD,INDIANAPOLIS
150133,KOSCIUSKO COMMUNITY HOSPITAL,2101 E DUBOIS DR,WARSAW
150146,PARKVIEW NOBLE HOSPITAL,401 SAWYER RD,KENDALLVILLE
150149,WOMEN'S HOSPITAL THE,4199 GATEWAY BLVD,NEWBURGH
150150,DUPONT HOSPITAL LLC,2520 E DUPONT RD,FORT WAYNE
150153,ST VINCENT HEART CENTER OF INDIANA LLC,10580 N MERIDIAN ST,INDIANAPOLIS
150154,INDIANA HEART HOSPITAL THE,8075 N SHADELAND AVE,INDIANAPOLIS
150157,ST VINCENT CARMEL HOSPITAL INC,13500 N MERIDIAN ST,CARMEL
150158,IU HEALTH WEST HOSPITAL,1111 N RONALD REAGAN PKWY,AVON
150160,INDIANA ORTHOPAEDIC HOSPITAL LLC,8400 NORTHWEST BLVD,INDIANAPOLIS
150161,INDIANA UNIVERSITY HEALTH NORTH HOSPITAL,11700 N MERIDIAN ST,CARMEL
150162,FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS,8111 S EMERSON AVE,INDIANAPOLIS
150163,SAINT CATHERINE REGIONAL HOSPITAL,2200  MARKET ST,CHARLESTOWN
150164,MONROE HOSPITAL,4011 S MONROE MEDICAL PARK BLVD,BLOOMINGTON
150165,FRANCISCAN PHYSICIANS HOSPITAL LLC,701 SUPERIOR AVE,MUNSTER
150166,PINNACLE HOSPITAL,9301 CONNECTICUT DR,CROWN POINT
150167,ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC,11130 PARKVIEW CIRCLE DR,FORT WAYNE
150168,THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR,7952 W JEFFERSON BLVD,FT WAYNE
150169,COMMUNITY HOSPITAL NORTH,7150 CLEARVISTA DR,INDIANAPOLIS
150170,SURGICAL HOSPITAL OF MUNSTER,7847 CALUMET AVE,MUNSTER
150172,PHYSICIANS' MEDICAL CENTER LLC,4023 REAS LN,NEW ALBANY
150173,INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL,5165 MCCARTY LN,LAFAYETTE
150175,THE HEART HOSPITAL AT DEACONESS GATEWAY LLC,4007 GATEWAY BLVD,NEWBURGH
150176,KENTUCKIANA MEDICAL CENTER LLC,4601 MEDICAL PLAZA WAY,CLARKSVILLE
150177,UNITY MEDICAL AND SURGICAL HOSPITAL,4455 EDISON LAKES PKWY,MISHAWAKA
150178,CANCER CARE PARTNERS LLC,301 E DAY RD STE 300,MISHAWAKA
151300,COMMUNITY HOSPITAL OF BREMEN INC,1020 HIGH RD,BREMEN
151301,ST VINCENT RANDOLPH HOSPITAL INC,473 E GREENVILLE AVE,WINCHESTER
151302,INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL,410 PILGRIM BLVD,HARTFORD CITY
151303,ST VINCENT JENNINGS HOSPITAL INC,301 HENRY ST,NORTH VERNON
151304,RUSH MEMORIAL HOSPITAL,1300 N MAIN ST,RUSHVILLE
151305,PULASKI MEMORIAL HOSPITAL,616 E 13TH ST,WINAMAC
151306,INDIANA UNIVERSITY HEALTH PAOLI HOSPITAL,642 W HOSPITAL RD,PAOLI
151307,ST VINCENT WILLIAMSPORT HOSPITAL INC,412 N MONROE ST,WILLIAMSPORT
151308,ST VINCENT MERCY HOSPITAL,1331 S A ST,ELWOOD
151309,ST VINCENT CLAY HOSPITAL INC,1206 E NATIONAL AVE,BRAZIL
151310,WABASH COUNTY HOSPITAL,710 N EAST ST,WABASH
151311,INDIANA UNIVERSITY HEALTH TIPTON HOSPITAL INC,1000 S MAIN ST,TIPTON
151312,INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL,720 SOUTH SIXTH ST,MONTICELLO
151313,WOODLAWN HOSPITAL,1400 E 9TH ST,ROCHESTER                     
151314,ST VINCENT SALEM HOSPITAL INC,911 N SHELBY ST,SALEM                         
151315,CAMERON MEMORIAL COMMUNITY HOSPITAL INC,416 E MAUMEE ST,ANGOLA
151316,ST VINCENT FRANKFORT HOSPITAL INC,1300 S JACKSON ST,FRANKFORT
151317,GREENE COUNTY GENERAL HOSPITAL,1185 N 1000 W,LINTON
151318,DUKES MEMORIAL HOSPITAL,275 W 12TH ST,PERU
151319,GIBSON GENERAL HOSPITAL,1808 SHERMAN DR,PRINCETON
151320,JAY COUNTY HOSPITAL,500 W VOTAW ST,PORTLAND
151322,PERRY COUNTY MEMORIAL HOSPITAL,ONE HOSPITAL RD,TELL CITY
151323,PARKVIEW LAGRANGE HOSPITAL,207 N TOWNLINE RD,LAGRANGE
151324,JASPER COUNTY HOSPITAL,1104 E GRACE ST,RENSSELAER
151325,ST MARY'S WARRICK HOSPITAL INC,1116 MILLIS AVE,BOONVILLE
151326,UNION HOSPITAL CLINTON,801 S MAIN ST,CLINTON
151327,SULLIVAN COUNTY COMMUNITY HOSPITAL,2200 N SECTION ST,SULLIVAN
151328,INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL,2900 W 16TH ST,BEDFORD
151329,MARGARET MARY COMMUNITY HOSPITAL INC,321 MITCHELL AVE,BATESVILLE
151330,ADAMS MEMORIAL HOSPITAL,1100 MERCER AVE,DECATUR
151331,HARRISON COUNTY HOSPITAL,1141 HOSPITAL DR NW,CORYDON
151332,DECATUR COUNTY MEMORIAL HOSPITAL,720 N LINCOLN ST,GREENSBURG
151333,PUTNAM COUNTY HOSPITAL,1542 S BLOOMINGTON ST,GREENCASTLE
151334,SCOTT COUNTY  MEMORIAL HOSPITAL AKA SCOTT MEMORIAL,1451 N GARDNER ST,SCOTTSBURG
151335,ST VINCENT DUNN HOSPITAL INC,1600 23RD ST,BEDFORD
160001,MARSHALLTOWN MEDICAL & SURGICAL CENTER,3 SOUTH 4TH AVENUE,MARSHALLTOWN
160005,ST ANTHONY REGIONAL HOSPITAL,311 SOUTH CLARK STREET,CARROLL
160008,KEOKUK AREA HOSPITAL,1600 MORGAN STREET,KEOKUK
160013,TRINITY MUSCATINE,1518 MULBERRY AVENUE,MUSCATINE
160016,TRINITY REGIONAL MEDICAL CENTER,802 KENYON RD,FORT DODGE
160024,IOWA LUTHERAN HOSPITAL,700 EAST UNIVERSITY AVENUE,DES MOINES
160028,ALEGENT HEALTH MERCY HOSPITAL,800 MERCY DRIVE,COUNCIL BLUFFS
160029,MERCY HOSPITAL,500 E MARKET STREET,IOWA CITY
160030,MARY GREELEY MEDICAL CENTER,1111 DUFF AVENUE,AMES
160032,SKIFF MEDICAL CENTER,204 NORTH 4TH AVENUE EAST,NEWTON
160033,GENESIS MEDICAL CENTER-DAVENPORT,1227 EAST RUSHOLME STREET,DAVENPORT
16003F,VA CENTRAL IOWA HEALTHCARE SYSTEM,3600 30TH STREET,DES MOINES                    
160040,SARTORI MEMORIAL HOSPITAL,515 COLLEGE STREET,CEDAR FALLS
160045,ST LUKES HOSPITAL,1026 A AVE NE,CEDAR RAPIDS
160047,JENNIE EDMUNDSON HOSPITAL,933 EAST PIERCE STREET,COUNCIL BLUFFS
16004F,IOWA CITY VA MEDICAL CENTER,601 HIGHWAY 6 WEST,IOWA CITY                     
160057,GREAT RIVER MEDICAL CENTER,1221 SOUTH GEAR AVENUE,WEST BURLINGTON
160058,UNIVERSITY OF IOWA HOSPITAL & CLINICS,200 HAWKINS DRIVE,IOWA CITY
160064,MERCY MEDICAL CENTER-NORTH IOWA,1000 FOURTH STREET SW,MASON CITY
160067,COVENANT MEDICAL CENTER,3421 WEST NINTH STREET,WATERLOO
160069,MERCY MEDICAL CENTER-DUBUQUE,250 MERCY DRIVE,DUBUQUE
160079,MERCY MEDICAL CENTER - CEDAR RAPIDS,701 10TH STREET SE,CEDAR RAPIDS
160080,MERCY MEDICAL CENTER-CLINTON,1410 NORTH 4TH STREET,CLINTON
160082,IOWA METHODIST MEDICAL CENTER,1200 PLEASANT STREET,DES MOINES
160083,MERCY MEDICAL CENTER-DES MOINES,1111 6TH AVE,DES MOINES
160089,OTTUMWA REGIONAL HEALTH CENTER,1001 E PENNSYLVANIA,OTTUMWA
160101,BROADLAWNS MEDICAL CENTER,1801 HICKMAN ROAD,DES MOINES
160104,TRINITY BETTENDORF,4500 UTICA RIDGE ROAD,BETTENDORF
160110,ALLEN MEMORIAL HOSPITAL,1825 LOGAN AVENUE,WATERLOO
160112,SPENCER MUNICIPAL HOSPITAL,1200 1ST AVENUE EAST,SPENCER
160117,THE FINLEY HOSPITAL,350 NORTH GRANDVIEW AVENUE,DUBUQUE
160122,FORT MADISON COMMUNITY HOSPITAL,5445 AVE O,FORT MADISON
160124,LAKES REGIONAL HEALTHCARE,2301 HIGHWAY 71,SPIRIT LAKE
160146,ST LUKES REGIONAL MEDICAL CENTER,2720 STONE PARK BOULEVARD,SIOUX CITY
160147,GRINNELL REGIONAL MEDICAL CENTER,210 FOURTH AVENUE,GRINNELL
160153,MERCY MEDICAL CENTER-SIOUX CITY,801 5TH ST BOX #316B,SIOUX CITY
161300,BAUM HARMON MERCY HOSPITAL,255 N WELCH AVENUE,PRIMGHAR
161301,BELMOND MEDICAL CENTER,403 FIRST STREET SE,BELMOND
161302,WRIGHT MEDICAL CENTER,1316 SOUTH MAIN STREET,CLARION
161303,GRUNDY COUNTY MEMORIAL HOSPITAL,201 EAST J AVENUE,GRUNDY CENTER
161304,ALEGENT HEALTH MERCY HOSPITAL,603 ROSARY DRIVE,CORNING
161305,POCAHONTAS COMMUNITY HOSPITAL,606 N W 7TH STREET,POCAHONTAS                    
161306,JONES REGIONAL MEDICAL CENTER,1795 HIGHWAY 64 EAST,ANAMOSA
161307,HANCOCK COUNTY MEMORIAL HOSPITAL,532 1ST ST NW,BRITT
161308,FRANKLIN GENERAL HOSPITAL,1720 CENTRAL AVENUE EAST,HAMPTON
161309,ALEGENT HEALTH COMMUNITY MEMORIAL HOSPITAL,631 N 8TH ST,MISSOURI VALLEY
161310,ADAIR COUNTY MEMORIAL HOSPITAL,609 SE KENT,GREENFIELD
161311,HAWARDEN COMMUNITY HOSPITAL,1111 11TH STREET,HAWARDEN
161312,GUTTENBERG MUNICIPAL HOSPITAL,200 MAIN STREET,GUTTENBERG
161313,GENESIS MEDICAL CENTER-DEWITT,1118 11TH STREET,DEWITT
161314,GUTHRIE COUNTY HOSPITAL,710 NORTH 12TH STREET,GUTHRIE CENTER                
161315,KEOKUK COUNTY HEALTH CENTER,23019 HIGHWAY 149,SIGOURNEY                     
161316,PALMER LUTHERAN HEALTH CENTER,112 JEFFERSON STREET,WEST UNION
161317,MARENGO MEMORIAL HOSPITAL,300 W MAY ST,MARENGO
161318,VETERANS MEMORIAL HOSPITAL,40 1ST STREET SE,WAUKON
161319,CENTRAL COMMUNITY HOSPITAL,901 DAVIDSON STREET NW,ELKADER
161320,COMMUNITY MEMORIAL HOSPITAL,909 WEST FIRST STREET,SUMNER
161321,SANFORD HOSPITAL ROCK RAPIDS,801 SOUTH GREENE STREET,ROCK RAPIDS
161322,DALLAS COUNTY HOSPITAL,610 TENTH STREET,PERRY
161323,MITCHELL COUNTY REGIONAL HEALTH,616 NORTH EIGHTH STREET,OSAGE                         
161324,GEORGE C GRAPE COMMUNITY HOSPITAL,2959 US HIGHWAY 275,HAMBURG                       
161325,GREENE COUNTY MEDICAL CENTER,1000 WEST LINCOLNWAY,JEFFERSON
161326,MADISON COUNTY MEMORIAL HOSPITAL,300 WEST HUTCHINGS STREET,WINTERSET
161327,DAVIS COUNTY HOSPITAL,509 NORTH MADISON STREET,BLOOMFIELD
161328,REGIONAL HEALTH SERVICES OF HOWARD COUNTY,235 8TH AVENUE WEST,CRESCO
161329,JACKSON COUNTY REGIONAL HEALTH CENTER,700 W GROVE ST,MAQUOKETA
161330,AUDUBON COUNTY MEMORIAL HOSPITAL,515 PACIFIC STREET,AUDUBON
161331,MERCY MEDICAL CENTER-NEW HAMPTON,308 NORTH MAPLE AVENUE,NEW HAMPTON
161332,MANNING REGIONAL HEALTHCARE CENTER,410 MAIN STREET,MANNING
161333,STORY COUNTY HOSPITAL,640 SOUTH 19TH STREET,NEVADA
161335,BUCHANAN COUNTY HEALTH CENTER,1600 FIRST ST EAST,INDEPENDENCE
161336,HEGG MEMORIAL HEALTH CENTER,1202 21ST AVENUE,ROCK VALLEY
161337,VAN BUREN COUNTY HOSPITAL,304 FRANKLIN STREET,KEOSAUQUA
161338,MERCY HOSPITAL OF FRANCISCAN SISTERS-OELWEIN,201 EIGHTH AVENUE SE,OELWEIN
161339,WAVERLY HEALTH CENTER,312  9TH STREET SW,WAVERLY
161340,DECATUR COUNTY HOSPITAL,1405 NW CHURCH STREET,LEON
161341,LUCAS COUNTY HEALTH CENTER,1200 NORTH 7TH STREET,CHARITON
161342,MONROE COUNTY HOSPITAL,6580 165TH STREET,ALBIA
161343,REGIONAL MEDICAL CENTER,709 W MAIN,MANCHESTER
161344,WASHINGTON COUNTY HOSPITAL,400 EAST POLK STREET,WASHINGTON
161345,OSCEOLA COMMUNITY HOSPITAL,600 9TH AVENUE NORTH,SIBLEY
161346,SIOUX CENTER COMMUNITY HOSPITAL & HEALTH CENTER,605 SOUTH MAIN AVENUE,SIOUX CENTER
161347,FLOYD COUNTY MEMORIAL HOSPITAL,800 11TH ST,CHARLES CITY                  
161348,CLARKE COUNTY HOSPITAL,800 S FILLMORE ST,OSCEOLA
161350,STEWART MEMORIAL COMMUNITY HOSPITAL,1301 WEST MAIN STREET,LAKE CITY
161351,AVERA HOLY FAMILY HOSPITAL,826 NORTH 8TH STREET,ESTHERVILLE
161352,CLARINDA REGIONAL HEALTH CENTER,220 ESSIE DAVISON DRIVE,CLARINDA
161353,KOSSUTH REGIONAL HEALTH CENTER,1515 SOUTH PHILLIPS STREET,ALGONA
161354,HORN MEMORIAL HOSPITAL,701 EAST 2ND STREET,IDA GROVE
161355,KNOXVILLE HOSPITAL & CLINICS,1002 SOUTH LINCOLN STREET,KNOXVILLE
161356,HENRY COUNTY HEALTH CENTER,407 S WHITE ST,MOUNT PLEASANT
161357,PALO ALTO COUNTY HOSPITAL,3201 1ST STREET,EMMETSBURG
161358,WAYNE COUNTY HOSPITAL,417 SOUTH EAST STREET,CORYDON
161359,BURGESS HEALTH CENTER,1600 DIAMOND STREET,ONAWA
161360,ORANGE CITY AREA HEALTH SYSTEM,1000 LINCOLN CIRCLE SE,ORANGE CITY
161361,VAN DIEST MEDICAL CENTER,2350 HOSPITAL DRIVE,WEBSTER CITY
161362,CHEROKEE REGIONAL MEDICAL CENTER,300 SIOUX VALLEY DRIVE,CHEROKEE
161363,MONTGOMERY COUNTY MEMORIAL HOSPITAL,2301 EASTERN AVENUE,RED OAK
161364,JEFFERSON COUNTY HEALTH CENTER,2000 S MAIN,FAIRFIELD
161365,GREATER REGIONAL MEDICAL CENTER,1700 WEST TOWNLINE ROAD,CRESTON
161366,SHENANDOAH MEDICAL CENTER,300 PERSHING AVENUE,SHENANDOAH
161367,PELLA REGIONAL HEALTH CENTER,404 JEFFERSON STREET,PELLA
161368,FLOYD VALLEY HOSPITAL,714 LINCOLN ST NE,LE MARS
161369,CRAWFORD COUNTY MEMORIAL HOSPITAL,100 MEDICAL PARKWAY,DENISON
161371,WINNESHIEK MEDICAL CENTER,901 MONTGOMERY STREET,DECORAH
161372,BOONE COUNTY HOSPITAL,1015 UNION STREET,BOONE
161373,RINGGOLD COUNTY HOSPITAL,504 NORTH CLEVELAND,MOUNT AYR
161374,MYRTUE MEDICAL CENTER,1213 GARFIELD AVENUE,HARLAN
161375,BUENA VISTA REGIONAL MEDICAL CENTER,1525 WEST 5TH STREET,STORM LAKE
161376,CASS COUNTY MEMORIAL HOSPITAL,1501 EAST TENTH STREET,ATLANTIC
161377,MERCY MEDICAL CENTER-CENTERVILLE,ONE ST JOSEPH'S DRIVE,CENTERVILLE
161378,MERCY MEDICAL CENTER-DYERSVILLE,1111 3RD STREET SW,DYERSVILLE
161379,MAHASKA  HEALTH PARTNERSHIP,1229 C AVENUE EAST,OSKALOOSA
161380,ELLSWORTH MUNICIPAL HOSPITAL,110 ROCKSYLVANIA AVENUE,IOWA FALLS
161381,SANFORD SHELDON MEDICAL CENTER,118 NORTH 7TH AVENUE,SHELDON
170001,NEWMAN REGIONAL HEALTH,1201 WEST 12TH AVENUE,EMPORIA
170006,VIA CHRISTI HOSPITAL PITTSBURG INC,1 MT CARMEL WAY,PITTSBURG
170009,SAINT JOHN HOSPITAL,3500 SOUTH 4TH STREET,LEAVENWORTH
170010,MERCY HOSPITAL INDEPENDENCE,800 WEST MYRTLE STREET,INDEPENDENCE
170012,SALINA REGIONAL HEALTH CENTER,400 SOUTH SANTA FE AVENUE,SALINA
170013,HAYS MEDICAL CENTER,2220 CANTERBURY DRIVE,HAYS
170014,RANSOM MEMORIAL HOSPITAL,1301 S MAIN STREET,OTTAWA
170016,ST FRANCIS HEALTH CENTER INC,1700 SW 7TH STREET,TOPEKA
170017,SUSAN B ALLEN MEMORIAL HOSPITAL,720 W CENTRAL ST,EL DORADO
170020,HUTCHINSON REGIONAL MEDICAL CENTER INC,1701 E 23RD AVENUE,HUTCHINSON
170023,ST CATHERINE HOSPITAL,401 EAST SPRUCE,GARDEN CITY
170027,PRATT REGIONAL MEDICAL CENTER,200 COMMODORE ST,PRATT
170033,CENTRAL KANSAS MEDICAL CENTER,3515 BROADWAY ST,GREAT BEND
170039,SUMNER REGIONAL MEDICAL CENTER,1323 NORTH A ST,WELLINGTON
170040,UNIVERSITY OF KANSAS HOSPITAL,3901 RAINBOW BLVD,KANSAS CITY
170049,OLATHE MEDICAL CENTER,20375 W 151ST ST #303,OLATHE
170058,MERCY HOSPITAL-FORT SCOTT,401 WOODLAND HILLS BLVD,FORT SCOTT
170068,SOUTHWEST MEDICAL CENTER,315 WEST 15TH STREET,LIBERAL
17006F,VA EASTERN KANSAS HEALTHCARE SYSTEM,4101 S. 4TH STREET,"LEAVENWORTH,                  "
170074,GEARY COMMUNITY HOSPITAL,1102 ST MARY'S ROAD,JUNCTION CITY
170075,MERCY HOSPITAL,218 E PACK ST,MOUNDRIDGE
170086,STORMONT-VAIL HEALTHCARE,1500 SW 10TH ST,TOPEKA
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA                       
170094,COFFEY COUNTY HOSPITAL,801 NORTH 4TH STREET,BURLINGTON
170103,NEWTON MEDICAL CENTER,800 MEDICAL CENTER DR,NEWTON
170104,SHAWNEE MISSION MEDICAL CENTER,9100 W 74TH STREET,SHAWNEE MISSION
170105,MCPHERSON HOSPITAL INC,1000 HOSPITAL DRIVE,MCPHERSON
170109,MIAMI COUNTY MEDICAL CENTER,2100 BAPTISTE DRIVE,PAOLA
170110,BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL,415 N MAIN STREET,ULYSSES
170120,LABETTE HEALTH,1902 SOUTH US HWY 59,PARSONS
170122,VIA CHRISTI HOSPITALS WICHITA INC,929 N ST FRANCIS ST,WICHITA
170123,WESLEY MEDICAL CENTER,550 N HILLSIDE ST,WICHITA
170133,CUSHING MEMORIAL HOSPITAL,711 MARSHALL STREET,LEAVENWORTH
170137,LAWRENCE MEMORIAL HOSPITAL,325 MAINE ST,LAWRENCE
170142,MERCY REGIONAL HEALTH CENTER,1823 COLLEGE AVE,MANHATTAN
170145,COFFEYVILLE REGIONAL MEDICAL CENTER,1400 W 4TH ST,COFFEYVILLE
170146,PROVIDENCE MEDICAL CENTER,8929 PARALLEL PARKWAY,KANSAS CITY
170150,SOUTH CENTRAL KS  MED CENTER,6401 PATTERSON PARKWAY,ARKANSAS CITY
170166,MORTON COUNTY HOSPITAL,445 N HILLTOP,ELKHART
170175,WESTERN PLAINS MEDICAL COMPLEX,3001 AVENUE A,DODGE CITY
170176,OVERLAND PARK REG MED CTR,10500 QUIVIRA ROAD,OVERLAND PARK
170182,MENORAH MEDICAL CENTER,5721 WEST 119TH STREET,OVERLAND PARK
170183,KANSAS SURGERY & RECOVERY CENTER,2770 N WEBB ROAD,WICHITA
170185,SAINT LUKE'S SOUTH HOSPITAL,12300 METCALF AVENUE,OVERLAND PARK
170186,KANSAS HEART HOSPITAL,3601 NORTH WEBB ROAD,WICHITA
170187,SALINA SURGICAL HOSPITAL,401 SOUTH SANTA FE AVENUE,SALINA
170188,KANSAS CITY ORTHOPAEDIC INSTITUTE,3651 COLLEGE BLVD,LEAWOOD
170190,MANHATTAN SURGICAL HOSPITAL LLC,1829 COLLEGE AVENUE,MANHATTAN
170191,GREAT BEND REGIONAL HOSPITAL,514 CLEVELAND STREET,GREAT BEND
170192,GALICHIA HEART HOSPITAL LLC,2610 N WOODLAWN,WICHITA
170194,DOCTORS HOSPITAL LLC,4901 COLLEGE BLVD,LEAWOOD
170195,HEARTLAND SURGICAL SPEC HOSPITAL,10720 NALL AVENUE,OVERLAND PARK
170196,KANSAS SPINE HOSPITAL LLC,3333 NORTH WEBB ROAD,WICHITA
170197,KANSAS MEDICAL CENTER LLC,1124 WEST 21ST STREET,ANDOVER
170198,SUMMIT SURGICAL LLC,1818 EAST 23RD AVENUE,HUTCHINSON
170199,MINIMALLY INVASIVE SURGERY HOSPITAL,11217 LAKEVIEW AVENUE,LENEXA
170200,VIA CHRISTI HOSPITAL WICHITA ST TERESA INC,14800 WEST ST TERESA,WICHITA
171300,GRISELL MEMORIAL HOSPITAL DISTRICT #1,210 SOUTH VERMONT AVENUE,RANSOM
171301,ELLINWOOD DISTRICT HOSPITAL,605 N MAIN STREET,ELLINWOOD
171302,OSWEGO COMMUNITY HOSPITAL,800 BARKER DRIVE,OSWEGO
171304,ASHLAND HEALTH CENTER,709 OAK STREET,ASHLAND
171306,WICHITA COUNTY HEALTH CENTER,211 E EARL STREET,LEOTI
171310,CHEYENNE COUNTY HOSPITAL,210 WEST 1ST STREET,ST FRANCIS
171312,COMANCHE COUNTY HOSPITAL,2ND & FRISCO STREET,COLDWATER
171313,KEARNY COUNTY HOSPITAL,500 THORPE STREET,LAKIN
171314,JEFFERSON COUNTY MEMORIAL HOSPITAL,408 DELAWARE ST,WINCHESTER
171315,NEMAHA VALLEY COMMUNITY HOSPITAL,1600 COMMUNITY DR,SENECA
171316,ANDERSON COUNTY HOSPITAL,421 S MAPLE,GARNETT
171317,EDWARDS COUNTY HOSPITAL,620 WEST EIGHTH STREET,KINSLEY
